rock,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
1,13.303792156862746,13.593,0.17861781755712408,12.955986960784314,13.631706764705882,12.901960784313726,13.0,0.1804284018873541,12.554607843137255,13.223529411764705,0.4018313725490196,0.589,0.039793454258678945,0.3294099019607843,0.4721,96.11230588235294,97.706,0.33610789028664706,95.41797323529411,96.78279588235294
2,12.712129411764705,13.009,0.17383294687343734,12.358746470588237,13.065554607843136,12.554901960784314,12.5,0.17527108506093594,12.211764705882352,12.903921568627451,0.15722745098039212,0.01,0.040233599350770026,0.08443401960784316,0.24155705882352937,98.01720392156862,98.446,0.13430399035344556,97.73610735294118,98.26213676470589
3,13.17852156862745,13.093,0.1738729031179102,12.838394019607843,13.514744901960785,13.084313725490196,13.0,0.175763942943542,12.72720588235294,13.431519607843137,0.09420784313725489,0.094,0.04793553162296665,0.003789117647058861,0.19216264705882352,98.46930588235294,99.471,0.19934310170180608,98.0701067647059,98.82950735294119
5,12.998133333333332,13.073,0.1715662461034145,12.675873921568627,13.316424705882353,12.866666666666667,13.0,0.17473006450029097,12.525441176470588,13.20985294117647,0.13146666666666665,0.074,0.04104040031895116,0.05479950980392156,0.22164372549019606,102.91107058823529,104.734,0.45938600329864293,101.98856490196077,103.72332480392157
