day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
5,12.445708333333334,13.009,0.21368022192837016,12.028623958333334,12.841916666666668,12.008,13.259,12.145833333333334,12.5,0.2159390653672717,11.729166666666666,12.5625,11.5,13.0,0.29987499999999995,0.507,0.06676316329253797,0.17475,0.42513124999999996,0.009,0.509,98.84629166666667,98.953,0.11373687978429692,98.63574895833332,99.05691770833333,98.446,98.953,2
6,10.923375,11.007,0.24229132522063987,10.485373958333334,11.423916666666665,10.006,11.007,10.895833333333334,10.5,0.34047490100235056,10.208333333333334,11.5625,10.0,11.5,0.02754166666666667,0.2565,0.1256426664579427,-0.22229166666666667,0.2565,-0.492,0.505,99.14108333333333,98.953,0.11699583351720866,98.90982916666667,99.37242083333334,98.953,99.457,2
7,13.071374999999998,13.009,0.20054115025061714,12.675166666666668,13.44675,12.508,14.01,12.791666666666666,13.0,0.20393916635820403,12.416145833333333,13.167187499999999,12.5,13.5,0.27970833333333334,0.5075000000000001,0.06004573978681496,0.15487395833333334,0.4044177083333333,0.009,0.509,98.40325,98.446,0.10957163380539069,98.19225,98.614378125,97.939,98.446,2
8,14.51,14.76,0.1975163541201779,14.134108333333334,14.885374999999998,14.01,15.2605,14.375,14.5,0.18855380195552693,14.0,14.708854166666667,14.0,15.0,0.135,0.01,0.04518512644857723,0.051582291666666676,0.21862499999999999,0.01,0.011,97.958375,97.939,0.14508423106340954,97.683240625,98.23300625,97.429,98.446,2
9,13.488375,13.509,0.1579293528134415,13.196291666666667,13.780890625000001,13.009,14.01,13.229166666666666,13.25,0.19029717098534116,12.875,13.563020833333333,12.5,14.0,0.2592083333333333,0.508,0.06722388451402217,0.13429166666666667,0.384084375,0.01,0.509,98.361375,98.446,0.08455985386617966,98.19224999999999,98.50937500000002,97.939,98.446,2
10,19.546133333333337,19.513,0.6336310843946272,18.212331666666667,20.746668333333336,19.013,21.52552499999999,18.933333333333334,19.5,0.6723566702751539,17.566666666666666,20.2,15.5,20.5,0.6127999999999998,0.51,0.47365659853245295,-0.1535383333333334,1.6476833333333327,0.013,1.013,94.4324,97.429,1.4553896248084217,91.50080333333334,96.94645500000001,95.892,97.939,2
0,14.366125000000002,14.846499999999999,0.36071885913429164,13.635166666666668,15.013334375000001,13.8445,15.097,14.104166666666666,14.25,0.5080682071731085,13.041666666666666,15.0625,13.5,15.0,0.26195833333333335,0.0985,0.18409294359382344,-0.07004895833333334,0.6337666666666667,0.0945,0.595,95.68458333333335,95.775,0.17759496252022608,95.350625,96.03938020833333,95.242,96.307,3
1,13.697666666666668,13.594,0.5586961583392133,12.548525,14.76263125,12.083737500000005,15.598,13.666666666666666,13.5,0.465928505224435,12.791666666666666,14.500520833333333,13.0,15.25,0.030999999999999986,0.094,0.11095532133851596,-0.20025312499999995,0.24022083333333336,-0.408,0.596,97.31720833333334,97.367,0.32106801493511,96.72103958333335,97.93471770833332,96.307,97.901575,3
2,9.896458333333333,9.3325,0.39565718115179044,9.14433125,10.690335416666667,8.58,10.586,9.895833333333334,9.25,0.4329909112522492,9.083333333333334,10.8125,8.25,10.75,0.0006249999999999775,0.079,0.08820793969365796,-0.16521874999999997,0.16591770833333333,0.077,0.0835,100.37958333333331,100.77600000000001,0.33000342508469954,99.74735625,100.96633750000001,98.947,101.555,3
3,10.982750000000001,10.837,0.40377945107285457,10.209107291666667,11.734797916666668,10.0845,12.09,11.083333333333334,10.75,0.47745045522867363,10.207812500000001,11.979166666666666,10.0,11.5,-0.10058333333333334,0.078,0.11522837935253867,-0.30887708333333336,0.10741979166666664,-0.4095,0.0905,99.57629166666668,99.471,0.26916648368437257,99.09309791666666,100.07700208333333,98.947,100.516,3
