elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
105,15.445,15.5535,0.12498866615284253,15.20525,15.597000000000001,15.0,15.0,0.2041241452319315,14.625,15.375,0.445,0.5854999999999999,0.1447601464492213,0.15725,0.597,98.17900000000002,97.05600000000001,1.601274856689712,96.09049999999999,101.54825
106,16.321,16.554000000000002,0.24918901794956114,15.83125,16.5985,15.75,15.75,0.3227486121839514,15.25,16.25,0.571,0.588,0.22195006946007775,0.15825,0.96675,98.04875,96.556,1.783443456490843,95.8335,101.454
107,16.69625,16.804000000000002,0.2489060649455265,16.18475,17.099,16.625,16.75,0.23935677693908453,16.25,17.0,0.07125,0.0865,0.22271071482979887,-0.34775,0.349,97.53099999999999,96.05449999999999,1.9711845423501095,95.042,101.33371875
108,17.072,17.0875,0.305139585545151,16.544,17.6,17.0,17.0,0.2041241452319315,16.625,17.375,0.072,0.0875,0.22292038937701505,-0.34750000000000003,0.47075,97.67125,96.0675,1.8903226080486915,95.49225000000001,101.45400000000001
109,16.8215,17.087000000000003,0.27021765918113777,16.2825,17.099,16.625,16.75,0.23935677693908453,16.25,17.0,0.1965,0.099,0.12852075059434306,0.0335,0.45699999999999996,97.92675,96.312,1.80636639763366,95.83349999999999,101.45400000000001
110,16.446250000000003,16.587000000000003,0.14517310069936107,16.1575,16.5985,16.0,16.0,0.2041241452319315,15.625,16.375,0.44625000000000004,0.554,0.1248007578769723,0.20699999999999996,0.5985,98.03825,97.041,1.7175495322794414,95.567,100.93631249999999
111,16.070500000000003,16.086,0.020479664710797294,16.032249999999998,16.0975,15.625,15.5,0.125,15.5,15.875,0.4455,0.5535,0.12484423628399242,0.18475,0.5974999999999999,98.54125,97.7805,1.6065729766078656,95.93275000000001,101.22325
112,15.945500000000001,16.086,0.14492325555272376,15.657249999999998,16.0975,15.5,15.5,0.0,15.5,15.5,0.4455,0.586,0.14492325555272348,0.15725,0.5974999999999999,98.93925,98.261,1.416157616875087,96.64625000000001,101.4635
113,15.57025,15.586,0.020364900359851473,15.532249999999998,15.597000000000001,15.375,15.5,0.125,15.125,15.5,0.19524999999999998,0.097,0.1053671161542664,0.0815,0.40725,99.0465,98.236,1.5906195071941838,96.6215,101.69025
114,15.19475,15.3355,0.25605903453435647,14.776499999999999,15.587000000000002,15.125,15.0,0.125,15.0,15.375,0.06974999999999999,0.08549999999999999,0.22230698557025447,-0.34375,0.4674999999999999,98.4455,97.5135,1.355526496728608,96.6215,100.971
115,14.1935,14.0945,0.12871706698543628,14.030999999999999,14.45475,14.375,14.5,0.125,14.125,14.5,-0.18150000000000002,-0.1975,0.13000544860376687,-0.4055000000000001,0.042499999999999996,98.56,97.3125,1.6083560447446552,96.613,101.71075
116,13.81775,13.802,0.1301283821206325,13.5935,14.042,13.5,13.5,0.0,13.5,13.5,0.31775,0.302,0.13012838212063244,0.0935,0.542,98.09324999999998,97.407,2.0910544538980003,94.80425,102.3125
117,13.692499999999999,13.593499999999999,0.12871706698543642,13.53025,13.95375,13.5,13.5,0.0,13.5,13.5,0.1925,0.0935,0.12871706698543645,0.030249999999999996,0.45375,97.80924999999999,96.878,2.6941837469816328,93.43525,103.11449999999999
118,13.567499999999999,13.5835,0.02003538536356764,13.530000000000001,13.5935,13.375,13.5,0.125,13.125,13.5,0.19249999999999998,0.08399999999999999,0.13472719349361756,0.030249999999999996,0.46324999999999994,97.958,97.398,2.36638701399412,93.93925,102.53675
119,13.44225,13.5415,0.11815129777817349,13.2125,13.589,13.0,13.0,0.0,13.0,13.0,0.4422499999999999,0.5415,0.11815129777817367,0.2125,0.584,97.73225,97.92500000000001,2.366287999342713,93.1855,101.83825
