rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
1,0,12.0402,12.8415,0.7256441245924585,10.68665,13.342499999999998,10.087,14.094,11.6,12.25,0.6863753427324667,10.298750000000002,12.85,10.0,13.5,0.44020000000000004,0.5905,0.0770818900765788,0.289395,0.591,0.092,0.594,97.7908,99.15450000000001,1.4517571713080828,95.1630625,100.34284500000001,92.776,101.07287499999998
1,1,12.1404,12.8415,0.7179193888514844,10.7879,13.392599999999998,10.087,14.094,11.7,12.5,0.7234178138070234,10.34875,12.9,10.0,13.75,0.4404,0.5885,0.07632841323299382,0.29009749999999995,0.544222499999999,0.094,0.5934999999999999,97.4654,97.705,1.2621746683139123,95.1747025,99.54944,93.774,100.8195
1,2,11.8399,11.840499999999999,0.7324892179714622,10.337197499999998,13.041999999999998,10.087,14.093499999999999,11.6,12.25,0.7446102634562892,10.15,12.85,9.5,13.5,0.2399,0.093,0.19789000592360503,-0.11364499999999897,0.5930524999999991,-0.15949999999999998,0.8345,98.5834,99.155,1.1944221866660047,96.488165,100.70249249999999,95.74000000000001,101.054
1,3,11.9401,11.59,0.772502850767843,10.586355,13.1922,10.087,14.094,11.3,11.0,0.7824463062870334,9.85,12.65,9.993750000000006,13.75,0.6401,0.594,0.13844609460404114,0.39009249999999995,0.8907025000000001,0.093,1.089,97.97150000000002,98.4305,0.934250124134027,96.320855,99.719285,94.766,100.11985
1,4,11.94,11.840499999999999,0.8248311342329411,10.287200000000002,13.392305,10.087,14.594,11.45,11.5,0.7833333333333332,9.9,12.8,9.5,14.0,0.49000000000000005,0.583,0.12517436727310516,0.28849749999999996,0.7404025,0.09,0.8395749999999998,97.8002,98.19,1.3324761394569968,95.26549250000001,100.02855249999999,94.766,101.281575
1,5,12.040099999999999,12.090499999999999,0.8461828335399967,10.487397499999998,13.594045,9.586,14.594,11.55,11.5,0.8281505499203229,9.998750000000001,13.0,10.0,14.0,0.49009999999999987,0.5894999999999999,0.10035408976884466,0.3377975,0.6903050000000001,0.092,0.595,97.609,99.635,1.297915551096364,95.06709,100.1594,93.25649999999999,101.067
1,6,12.0902,12.090499999999999,0.8446904863781631,10.537497499999999,13.694152500000001,9.586,15.095,11.65,11.5,0.8467257197253691,10.148750000000001,13.202499999999997,9.0,14.0,0.44020000000000004,0.5865,0.15006597067808394,0.1388925,0.7400025,0.09196250000000003,0.838,98.6396,98.91,1.0830132573313938,96.54047,100.51414000000001,96.731925,102.013
1,7,12.0401,12.090499999999999,0.9004462529459736,10.4360525,13.74425,9.586,15.095,11.5,11.5,0.8787617550976045,9.898750000000001,13.1,9.0,14.5,0.5400999999999999,0.588,0.09014253527978158,0.3881,0.691805,0.33849999999999997,0.595,99.2252,99.394,0.9430459020288104,97.3681975,100.91183999999998,97.70592500000001,101.541
1,8,11.8399,11.840499999999999,0.8586079877724564,10.387200000000002,13.442505,9.085,15.095,11.45,11.5,0.8706638591072651,9.94875,13.1,9.0,14.5,0.3899,0.5874999999999999,0.1331995537196394,0.1388975,0.638405,0.088,0.5954999999999999,99.9608,99.87450000000001,0.5647168966246123,99.00532249999999,101.05821250000001,98.19,101.299
1,9,11.999181818181818,11.59,0.8070173009093065,10.587724999999999,13.501459090909094,9.586,15.596,11.090909090909092,11.0,0.9361870972149399,9.409090909090908,12.863636363636363,8.5,15.0,0.9082727272727271,0.591,0.2877801588621265,0.5000818181818182,1.454740909090908,0.586,0.596,98.80627272727274,98.674,1.1572117515893654,96.56692727272727,100.79505909090908,96.732,102.013
1,10,12.818818181818182,12.091,0.7346070541227755,11.407634090909092,14.184636363636365,10.588,15.596,11.818181818181818,11.0,0.7753964595105446,10.498863636363637,13.273863636363636,9.5,15.0,1.0006363636363635,1.089,0.060250880450341326,0.866,1.0912727272727272,1.087,1.091,98.37918181818182,98.19,0.9804375536943768,96.42962954545453,100.13855681818181,95.752,101.541
1,11,13.54718181818182,12.591,0.6277158276884364,12.45481590909091,14.777404545454544,12.091,16.096,13.0,12.0,0.7071067811865476,11.727272727272727,14.455681818181818,11.0,15.5,0.5471818181818183,0.591,0.10501028678457418,0.3660909090909091,0.7290022727272727,0.097,0.596,97.194,97.22,0.8982420204336508,95.49501136363635,98.73685454545453,93.275,100.114
