Hour,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
22,10.027777777777779,10.25,0.7275596425790122,8.694444444444445,11.416666666666666,8.0,11.25,10.055555555555555,10.5,0.7190099503080436,8.666666666666666,11.569444444444445,8.25,11.5,-0.027777777777777776,0.0,0.11433806120386557,-0.25,0.19444444444444445,-0.25,0.0,,,,,,,,10
23,9.36111111111111,9.0,0.721993248196212,8.152430555555556,10.875347222222222,7.5,10.5,9.069444444444445,9.25,0.6946943994606372,7.861111111111111,10.430555555555555,7.0,10.5,0.2916666666666667,0.0,0.12657734946200047,0.041666666666666664,0.5694444444444444,0.0,0.5,,,,,,,,10
0,9.222222222222221,8.5,0.6829686728634593,8.027430555555556,10.597569444444444,7.75,10.25,8.555555555555555,8.0,0.7198373322025272,7.221875000000001,10.083680555555556,6.5,9.5,0.6666666666666666,0.5,0.12279806626883454,0.4444444444444444,0.9027777777777778,0.5,1.0,,,,,,,,11
1,8.902777777777779,8.25,0.676950282002564,7.735416666666667,10.305555555555555,7.25,10.0,7.986111111111111,7.75,0.726615908862685,6.652777777777778,9.38888888888889,6.0,9.0,0.9166666666666666,0.75,0.1587400790550789,0.5968750000000003,1.2222222222222223,0.5,1.25,,,,,,,,11
2,8.61111111111111,7.75,0.6898099321584238,7.402777777777778,10.028472222222222,6.5,9.5,7.861111111111111,7.25,0.7399085934298867,6.555555555555555,9.528125000000001,5.5,9.0,0.75,1.0,0.11529809536003095,0.5413194444444447,0.9725694444444442,0.5,1.0,,,,,,,,11
3,8.38888888888889,7.5,0.697817206448451,7.055555555555555,9.847222222222221,6.5,9.5,7.513888888888889,6.75,0.7328694721021812,6.166666666666667,9.043402777777775,5.5,8.506249999999994,0.875,1.0,0.10978875820670998,0.6805555555555556,1.0972222222222223,0.5,1.0,,,,,,,,11
4,8.097222222222221,7.5,0.6937417079282634,6.736111111111111,9.569444444444445,6.5,9.0,7.25,6.5,0.7534313042067805,5.888541666666668,8.930555555555555,5.0,8.5,0.8472222222222222,1.0,0.12087551717596628,0.625,1.0833333333333333,0.5,1.25,,,,,,,,11
5,7.875,7.25,0.686425928673703,6.694097222222223,9.23611111111111,6.0,8.25,7.222222222222222,6.5,0.7268775481589982,5.846875000000001,8.722569444444444,5.0,8.5,0.6527777777777778,0.5,0.10694057919215766,0.4444444444444444,0.8611111111111112,0.5,1.0,,,,,,,,11
6,7.722222222222222,7.25,0.6803490130377542,6.5,9.000347222222222,5.75,8.0,6.944444444444445,6.0,0.7318648114869091,5.707986111111111,8.555555555555555,5.0,8.0,0.7777777777777778,0.75,0.13865058921855528,0.5,1.0142361111111107,0.5,1.0,,,,,,,,11
7,7.597222222222222,7.5,0.6865543841521872,6.388541666666668,8.972222222222221,5.75,8.0,6.75,6.5,0.7301608868153106,5.444444444444445,8.222222222222221,4.5,7.75,0.8472222222222222,1.0,0.12250598372888859,0.625,1.0694444444444444,0.5,1.0,,,,,,,,11
8,7.652777777777778,7.5,0.6894383049750304,6.402430555555556,9.041666666666666,5.0,8.0,6.638888888888889,6.0,0.7244623378839964,5.263888888888889,8.041666666666666,4.5,7.256249999999994,1.0138888888888888,1.0,0.12984439880578047,0.75,1.236458333333333,1.0,1.5,,,,,,,,11
9,8.36111111111111,8.0,0.6683345538259581,7.096875000000001,9.722569444444444,6.5,9.0,6.458333333333333,5.75,0.7287668972148711,5.111111111111111,7.944444444444445,4.25,7.0,1.9027777777777777,2.0,0.201993482179583,1.5416666666666667,2.3055555555555554,1.5,2.0,,,,,,,,11
10,9.32857142857143,9.5,0.6038889573001808,8.213928571428571,10.514999999999999,8.0,10.5,6.642857142857143,6.5,0.6759902256054044,5.442857142857143,8.085714285714285,4.5,7.5,2.6857142857142855,2.5,0.26967589813703113,2.1996428571428575,3.2,2.0,3.5,,,,,,,,11
11,10.82857142857143,10.5,0.6210396735398184,9.728214285714285,11.943214285714285,9.5,12.0,7.742857142857143,7.5,0.6731249801452611,6.514285714285714,9.12892857142857,5.5,9.0,3.085714285714286,2.5,0.30780171662728506,2.5428571428571427,3.7,2.4875000000000114,3.5,,,,,,,,11
12,12.442857142857143,12.5,0.6650871644939105,11.156428571428572,13.771428571428572,11.0,14.0,9.342857142857143,9.5,0.6822390930399905,8.028571428571428,10.7,7.5,10.5,3.1,2.5,0.32911901757736894,2.471071428571429,3.742857142857143,2.0,3.5,,,,,,,,11
13,13.842857142857143,14.0,0.723777273349037,12.428571428571429,15.214285714285714,13.0,15.0,11.157142857142857,11.0,0.7364380057917638,9.8,12.471785714285714,9.5,13.0,2.6857142857142855,2.0,0.3381149637201474,2.0142857142857142,3.342857142857143,1.0,3.5,,,,,,,,11
14,15.708333333333334,16.0,0.8503908998452903,13.902777777777779,17.278125,14.25,17.0,12.7,13.0,0.7520839395312471,11.227857142857143,14.157142857142857,11.5,14.0,2.6857142857142855,2.5,0.38188261774201426,1.957142857142857,3.414285714285714,1.5,4.0,,,,,,,,11
15,16.833333333333332,16.75,0.9210932083197109,15.125,18.569444444444443,15.5,18.0,14.2,15.0,0.7749220616814778,12.742857142857142,15.657499999999999,11.5,16.01249999999999,2.1142857142857143,1.5,0.3095712094712514,1.5571428571428572,2.7432142857142856,1.0,3.0,,,,,,,,11
16,16.23611111111111,16.75,0.7726695917790248,14.706944444444446,17.61145833333333,14.75,18.0,16.208333333333332,16.0,0.891399603975823,14.527777777777779,18.125,14.5,19.0,0.027777777777777776,0.0,0.42722082894482494,-0.7638888888888888,0.9444444444444444,-1.0,0.5,,,,,,,,11
17,15.88888888888889,16.5,0.7968467397381968,14.23611111111111,17.333333333333332,14.5,17.75,17.333333333333332,17.25,0.9085135251589959,15.555208333333333,19.209027777777777,15.75,19.5,-1.4444444444444444,-1.0,0.3523040814194926,-2.0694444444444446,-0.7638888888888888,-2.5,-0.5,,,,,,,,11
18,14.875,15.5,0.7685213074469699,13.36111111111111,16.444444444444443,13.25,16.5,17.541666666666668,18.0,1.0286327417792598,15.569097222222222,19.430902777777778,16.493750000000006,20.75,-2.6666666666666665,-2.0,0.4907881578369795,-3.5555555555555554,-1.7357638888888893,-4.0,-1.0,,,,,,,,11
19,13.375,13.25,0.7322976994603497,11.846874999999999,14.819791666666667,11.993750000000006,14.75,17.944444444444443,19.0,1.1264809965667875,15.846527777777778,20.22222222222222,15.25,21.0,-4.569444444444445,-4.25,0.7057453500506864,-6.014236111111111,-3.2493055555555563,-7.0,-1.25,,,,,,,,11
20,11.88888888888889,11.5,0.6941110310726882,10.583333333333334,13.23611111111111,10.25,13.5,15.63888888888889,15.5,0.9911535509455778,13.763541666666667,17.570138888888888,13.25,19.0,-3.75,-2.25,0.618337504799175,-4.958680555555555,-2.652083333333334,-5.75,-1.0,,,,,,,,11
21,10.805555555555555,11.0,0.6791327855346162,9.472222222222221,12.23611111111111,9.0,12.0,12.055555555555555,12.25,0.7839606854052205,10.624305555555557,13.626041666666666,10.25,13.5,-1.25,-1.25,0.22316269245012102,-1.6253472222222218,-0.8333333333333334,-2.0,-0.5,,,,,,,,11
22,10.083333333333334,10.0,0.6809482184354961,8.846527777777778,11.389236111111112,8.5,11.0,10.055555555555555,10.5,0.7190099503080436,8.680555555555555,11.458333333333334,8.0,11.5,0.027777777777777776,0.0,0.12270826876778067,-0.19444444444444445,0.2638888888888889,-0.5,0.006249999999994316,,,,,,,,11
23,9.472222222222221,9.0,0.6989063010423388,8.082986111111111,10.764583333333333,7.75,10.5,9.069444444444445,9.25,0.6946943994606372,7.874652777777778,10.472222222222221,7.0,10.5,0.4027777777777778,0.0,0.12250598372888859,0.18055555555555555,0.6805555555555556,0.0,0.5,,,,,,,,11
0,8.083333333333334,7.5,0.7497354030610897,6.708333333333333,9.584027777777777,6.243750000000006,9.0,8.207277777777778,7.3315,0.7504348787997689,6.829196527777779,9.8354875,6.079,9.3355,-0.12394444444444441,-0.08349999999999985,0.08061679828537495,-0.27606041666666653,0.028486805555555612,-0.0909999999999993,-0.0769999999999999,89.60486111111112,94.0205,2.4872016816101605,85.0089548611111,94.24195972222222,84.571,102.013,15
1,7.819444444444445,7.25,0.7514939559203603,6.444097222222223,9.375,5.5,9.0,7.901055555555555,7.081,0.7421020305330934,6.578770138888888,9.320745138888888,6.079,9.085,-0.08161111111111113,-0.0850000000000008,0.07165337947454715,-0.21856597222222215,0.053506944444444426,-0.1000000000000014,-0.0780000000000002,90.46669444444444,98.432,2.615888698065303,85.38190277777777,95.5415048611111,85.35499999999999,101.53999999999999,15
