day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
28,12.958333333333334,12.0,0.4453022368297782,12.124479166666667,13.875,11.5,13.5,13.125,11.75,0.5937857540722331,11.979166666666666,14.229687499999999,11.25,13.75,-0.16666666666666666,0.25,0.27856169578297724,-0.6671874999999995,0.31302083333333286,0.0,0.5,,,,,,,,10
29,9.791666666666666,10.25,0.8978217736266302,8.061458333333334,11.458333333333334,6.25,12.5,10.145833333333334,9.5,0.8955805170728016,8.478645833333333,11.854166666666666,7.0,13.0,-0.3541666666666667,-0.5,0.13619827387585826,-0.6041666666666666,-0.08333333333333333,-0.5,0.0,,,,,,,,10
30,3.9583333333333335,3.25,0.4767384915988856,3.1458333333333335,4.979166666666667,2.5,4.5,3.8541666666666665,3.0,0.46574621310769093,2.999479166666667,4.750520833333333,2.4937500000000057,5.0,0.10416666666666667,0.5,0.1675136990576612,-0.20833333333333334,0.3958333333333333,-0.5,0.5,,,,,,,,10
31,9.104166666666666,7.0,0.7801774038005499,7.666145833333334,10.625,6.5,12.0,9.208333333333334,6.5,1.035561820957182,7.311979166666667,11.252083333333331,5.5,12.25,-0.10416666666666667,0.5,0.4256060966632271,-0.9791666666666666,0.6666666666666666,0.0,1.0,,,,,,,,10
32,13.5625,12.5,0.8315084184781296,11.957812500000001,15.270833333333334,10.25,16.0,13.5625,11.0,1.1262322156745423,11.561979166666667,15.793229166666665,9.25,16.0,0.0,0.5,0.48154341234307685,-0.9380208333333329,0.8338541666666662,0.5,1.5,,,,,,,,10
33,13.291666666666666,11.75,0.8717157134204675,11.666666666666666,15.0625,10.0,14.0,13.395833333333334,11.0,1.1041666666666667,11.333333333333334,15.709375,9.5,14.0,-0.10416666666666667,0.5,0.4871344473620844,-1.0838541666666661,0.7505208333333329,0.0,0.5,,,,,,,,10
34,22.5,22.5,0.23697978877924397,22.020833333333332,22.9375,22.0,22.5,22.145833333333332,22.0,0.32620896469493754,21.520833333333332,22.729166666666668,21.5,22.5,0.3541666666666667,0.5,0.27333018511796014,-0.125,0.8755208333333329,0.0,0.5,,,,,,,,10
35,21.175,21.0,0.21847256843341853,20.799375,21.625,20.5,21.75,20.875,20.75,0.22905699129945345,20.425,21.3,20.25,21.5,0.3,0.5,0.06688560540599386,0.175,0.425,0.0,0.5,,,,,,,,10
0,17.354166666666668,15.0,1.2809498735323002,15.061979166666667,19.9171875,13.0,20.0,15.818181818181818,12.5,1.5959721536759133,12.908522727272727,18.795454545454547,10.0,18.75,0.29545454545454547,1.75,0.7606808659166756,-1.25,1.6823863636363632,0.0,2.75,,,,,,,,11
1,15.729166666666666,13.75,0.8933019509683525,14.083333333333334,17.563020833333333,12.5,16.0,15.375,13.0,1.0278063385508078,13.457812500000001,17.5,11.5,16.5,0.3541666666666667,0.5,0.2830974614957083,-0.22916666666666666,0.9166666666666666,0.0,1.0,,,,,,,,11
