elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
28,11.35211111111111,11.5,0.4166450809223483,10.521333333333335,12.035202777777778,9.267333333333333,10.0,0.6217344690460712,8.104258333333334,10.30735,2.0847777777777776,1.967,0.6852674007231245,1.0105,3.390738888888889,86.20779999999999,85.427,4.045627236906533,78.79660000000001,93.13247999999999
29,11.129888888888889,11.5,0.3706170696901035,10.43643888888889,11.749250000000002,9.43388888888889,10.0,0.485977835698423,8.467808333333332,10.228783333333332,1.6960000000000002,1.4139999999999997,0.5492715630724023,0.8369666666666669,2.7781027777777783,86.4434,85.095,3.6235850976622594,80.0352,92.19953999999997
30,10.796444444444445,11.0,0.3832507197612691,10.074019444444446,11.476888888888888,9.100222222222222,9.5,0.39621437020947875,8.270666666666667,9.825238888888892,1.696222222222222,1.5,0.48639926380203385,0.9406277777777784,2.736913888888889,88.745,88.195,3.721193666016322,82.239,95.2284
31,10.463000000000001,10.5,0.3589701318432434,9.777180555555557,11.098175000000001,8.877555555555556,9.5,0.4719748437008266,7.972377777777779,9.671366666666666,1.5854444444444442,1.5,0.5322022409842352,0.6761805555555557,2.575477777777777,89.7734,89.293,3.7713476981047513,82.9884,96.15941500000001
32,10.963333333333333,11.0,0.37170100738212813,10.309572222222222,11.690999999999999,12.048,11.589,1.6613330658105723,9.688508333333335,15.579727777777777,-1.0846666666666667,-1.0140000000000011,1.7842303351554385,-4.616733333333332,1.938377777777778,79.70739999999999,83.751,8.935760838339396,62.2152,91.76140000000001
33,12.130444444444445,12.0,0.3742461723663506,11.39711111111111,12.77818888888889,14.160222222222224,13.594,2.6473603875568092,10.409788888888889,19.56351666666666,-2.029777777777778,-1.5939999999999994,2.619851993157129,-7.624752777777778,1.9381194444444443,72.429,77.509,11.502959193181551,50.36744000000001,88.92420000000001
34,14.075333333333333,13.102,0.5619794381370985,13.153272222222222,15.17511111111111,17.94011111111111,16.6,1.1700826471812014,15.979222222222225,20.222216666666665,-3.864777777777778,-4.100000000000001,1.020001059065052,-5.677441666666666,-1.8604000000000005,67.8346,64.562,7.764771603852878,54.2854,82.27720000000001
35,16.520444444444443,16.5,0.5584895082847998,15.467705555555554,17.46496666666667,19.774555555555555,20.105,1.1732943780359915,17.650425000000002,21.94852222222222,-3.2541111111111114,-3.100999999999999,1.1039915514527332,-5.236863888888889,-1.1469972222222222,63.775400000000005,63.196,5.802777796883142,53.3014,72.88047499999998
36,19.020888888888887,19.079,0.7040280424584671,17.789805555555557,20.39788611111111,21.275111111111112,21.531,0.8689852230626448,19.641222222222225,22.868466666666666,-2.254222222222222,-2.421,1.083082493751794,-4.49854722222222,-0.4956527777777781,56.261799999999994,57.184,5.844574205192369,47.2868,66.5262
37,20.743222222222222,20.079,0.6075557536779325,19.69958333333333,21.977666666666664,22.10822222222222,22.106,0.6190952578332392,21.03622222222222,23.292569444444446,-1.3650000000000004,-1.0309999999999988,0.8587140579572071,-2.966494444444445,0.18216111111111133,58.0862,55.984,4.20708363834141,51.95399999999999,65.9024
38,22.854666666666667,22.58,0.8940454872842508,21.131500000000003,24.619999999999997,26.886555555555553,27.107,1.1231799117672692,24.99656111111111,29.12811388888889,-4.031888888888889,-4.5,1.2020976740270461,-6.018080555555555,-1.6745305555555559,48.60680000000001,45.36,4.715942550540666,40.95540000000001,57.50500000000001
39,24.576888888888888,24.5,0.6879492157541792,23.333188888888888,25.731111111111108,26.274999999999995,25.0,1.3577234008933237,23.935155555555554,28.99202777777778,-1.6981111111111113,-0.9200000000000016,1.49849497130032,-4.537525,1.0949472222222216,47.3838,46.662,4.080549894315716,40.290200000000006,53.729200000000006
40,23.688000000000002,24.0,0.32623372671206835,23.037022222222223,24.240222222222222,24.774888888888892,24.617,1.0752289348532613,22.892636111111113,26.600324999999998,-1.0868888888888892,-1.5,1.1161958391046654,-3.058466666666667,0.8399638888888881,54.19780000000001,49.102,3.870860322977309,47.808060000000005,60.90060000000001
41,22.854666666666667,23.0,0.3487845562330229,22.203999999999997,23.415555555555557,23.219111111111115,23.607,1.1725923257235136,21.16063055555556,25.29040277777778,-0.36444444444444496,-0.6069999999999993,1.1539213591429964,-2.4079500000000005,1.8057527777777775,51.857600000000005,49.263,4.98561307764652,43.6506,60.42260000000001
42,21.576777777777778,21.5,0.7311678971530138,20.32680277777778,23.026975,20.941,21.531,0.9647782416470405,19.14334166666667,22.51188888888889,0.635777777777778,-0.5,0.9997120665718616,-1.0349999999999995,2.559774999999999,57.43300000000001,52.95,6.627419135681702,47.2302,70.05620000000002
43,19.187666666666665,19.0,0.6636736145626602,17.944444444444443,20.342444444444443,19.218000000000004,20.5,0.9067168644192201,17.269855555555555,20.654333333333334,-0.0303333333333333,0.3949999999999996,0.7843430017820293,-1.5436972222222218,1.331263888888888,59.83140000000001,57.184,5.525388770032384,50.5012,69.89139999999999
44,17.298444444444446,17.5,0.7326423659738448,15.95242777777778,18.72266111111111,15.382222222222222,15.598,0.9266224026864956,13.735455555555555,17.144808333333334,1.916222222222222,2.4019999999999992,0.7114411386946641,0.6315111111111116,3.2750111111111107,56.162200000000006,60.043,4.799507885189898,46.7964,63.8206
45,15.464777777777776,15.5,0.8073958786978489,13.999486111111112,16.79825277777778,12.991444444444445,12.592,0.9266218830771972,11.19103888888889,14.742944444444442,2.473333333333334,2.9079999999999995,0.7756869894200595,1.0514444444444446,3.8341249999999993,75.7202,75.201,5.905349468067069,65.5186,85.2566
46,14.242222222222223,14.5,0.6154322504860074,13.134,15.406358333333332,12.269777777777778,13.009,0.5602031570425982,11.226133333333335,13.153444444444444,1.9724444444444447,1.4670000000000003,0.5276396895375751,1.0548472222222232,2.9748361111111117,67.2582,69.277,5.466340671784003,57.585920000000016,75.881
47,13.35288888888889,13.5,0.6011453291760017,12.19716388888889,14.511358333333334,10.93511111111111,11.589,0.41043142763453605,10.117005555555556,11.670444444444444,2.4177777777777774,2.0,0.5305362271057509,1.5184277777777777,3.467222222222222,76.916,76.379,3.9849993099121104,69.61420000000001,83.88080000000001
48,12.908333333333333,13.0,0.37202523809249516,12.18888888888889,13.536111111111111,11.546555555555555,11.589,0.3768224276437227,10.860252777777777,12.211147222222221,1.3617777777777778,0.5,0.4855843209124953,0.5908500000000004,2.3327444444444443,74.91659999999999,75.78,2.988757778743537,68.96459999999999,79.17556499999999
49,12.68611111111111,12.5,0.43547370262624624,11.855416666666665,13.469513888888887,10.768555555555556,11.5,0.41913764349856586,9.999677777777777,11.484,1.9175555555555555,1.991,0.5861888231788056,0.9944416666666666,3.1154416666666664,82.054,82.361,3.9350218550854335,74.61,88.7054
