rock,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
1,13.26993712930012,13.574,0.08607675809771634,13.086901512455515,13.443387603795967,12.807829181494663,13.0,0.08528559652677907,12.64470640569395,12.969810201660737,0.4621079478054567,0.573,0.0147883004661089,0.43301548042704624,0.49142731316725974,95.2706631079478,96.469,0.15446350449727528,94.95776414590748,95.55117295373667
2,13.331784104389087,13.593,0.08760069957535327,13.165428143534994,13.508789472123368,12.909845788849347,13.0,0.08381746768536616,12.748472716488731,13.080071174377224,0.42193831553973904,0.591,0.02144834052042116,0.3822424377224199,0.46313674377224195,92.54969869513641,92.776,0.21835682610573526,92.1308119217082,92.97300895610913
3,13.050608540925266,13.093,0.08477431854116829,12.882289768683274,13.21711387900356,12.623962040332147,13.0,0.09098755557556391,12.440539739027285,12.808451957295373,0.4266465005931198,0.592,0.022428412978356363,0.38274958481613286,0.4698207295373666,98.21116725978648,99.471,0.16261738488609515,97.88870948991698,98.51719578884935
4,12.809085409252669,13.009,0.08044687523233303,12.660086150652434,12.963542793594307,13.054567022538553,13.0,0.07905874507121084,12.915776986951364,13.206435349940687,-0.24548161328588375,0.005,0.016360894899940564,-0.2794032325029656,-0.21400901542111508,96.82492763938315,97.429,0.1879931978332574,96.4191932087782,97.19898742586001
5,13.188800711743774,13.532,0.08406819735065447,13.022749525504151,13.361407325029656,12.993475682087782,13.0,0.08542462129195524,12.829181494661922,13.170892645314353,0.19532502965599052,0.033,0.01721367730086488,0.16270219454329776,0.22853763345195732,93.27376868327401,91.427,0.26509734599711515,92.76144362396204,93.76372075919335
