elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
268,13.574,13.574,0.0,13.574,13.574,13.0,13.0,0.0,13.0,13.0,0.574,0.574,0.0,0.574,0.574,69.038,69.038,0.0,69.038,69.038
269,13.260200000000001,13.073,0.13645490097464422,13.035599999999999,13.4894,13.0,13.0,0.15811388300841897,12.7,13.3,0.26019999999999993,0.573,0.21637915796120474,-0.16939999999999997,0.5892,68.1404,68.139,0.347530804390057,67.548,68.7422
270,12.959799999999998,13.032,0.09809862384355854,12.764,13.080400000000001,12.5,12.5,0.15811388300841897,12.2,12.8,0.4598,0.573,0.11324018721284419,0.23459999999999998,0.5886,68.4888,68.139,0.4150077589636119,67.76780000000001,69.2098
271,12.559199999999999,12.573,0.01679106905470895,12.529599999999999,12.5878,12.3,12.5,0.12247448713915889,12.1,12.5,0.2592,0.092,0.12454693894271349,0.05079999999999999,0.4677999999999998,68.83500000000001,69.277,0.3653126058596938,68.1348,69.42492000000001
272,12.7594,12.591,0.20431191839929458,12.529599999999999,13.1692,12.6,12.5,0.09999999999999999,12.5,12.8,0.1594,0.091,0.10494455679071686,0.029600000000000005,0.36920000000000003,68.9492,69.277,0.2884928768618047,68.461,69.42492000000001
273,13.16,13.092,0.10480791954809514,13.034799999999999,13.381200000000002,13.2,13.0,0.12247448713915889,13.0,13.4,-0.039999999999999994,0.074,0.11329033498052692,-0.26959999999999995,0.08880500000000001,68.9474,69.038,0.3101360346686588,68.4132,69.4816
274,13.8606,13.593,0.30406029007418894,13.535194999999998,14.4702,13.8,13.5,0.30000000000000004,13.5,14.4,0.06060000000000001,0.075,0.01710730837975396,0.030400000000000003,0.0898,68.8312,69.277,0.6502118424021505,67.6852,69.88340000000001
275,14.261,15.032,0.681432094929495,12.968,15.08281,14.0,15.0,1.0124228365658294,11.9,15.2,0.261,0.095,0.3841870638113678,-0.3598,0.9640000000000001,73.25280000000001,71.535,2.3320657237736655,70.23240000000001,77.99279999999999
276,11.6578,11.589,0.09477098712158698,11.540000000000001,11.8512,10.6,10.5,0.18708286933869706,10.3,10.9,1.0577999999999999,1.032,0.16177620344166815,0.767,1.3611999999999997,81.6702,82.989,1.364295986947113,79.1976,83.72018999999999
277,11.7584,11.589,0.26634105954583875,11.328799999999998,12.2684,11.3,11.5,0.12247448713915889,11.1,11.5,0.45840000000000003,0.589,0.19974373582167726,0.1288,0.783,82.9912,83.518,1.3728755733860212,80.8208,85.270675
