day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
2,14.447958333333332,13.843499999999999,0.534397234190096,13.404518750000001,15.491477083333333,12.091,15.846,13.520833333333334,12.5,0.5217021738622146,12.5625,14.5,11.5,15.0,0.9271249999999999,0.5974999999999999,0.13696982520359857,0.6562895833333333,1.1791302083333328,0.5909875,1.099,83.67762499999999,82.989,0.5077810059910569,82.66814791666667,84.67872916666667,82.459,85.095,2
3,14.67725,16.096,0.5683866987461921,13.508361458333331,15.720334375,12.591,17.097,14.145833333333334,15.75,0.5164672067071294,13.145312500000001,15.0625,13.0,16.0,0.5314166666666668,0.597,0.12916504323430472,0.280775,0.76166875,0.0905,1.0965125,87.04975000000002,87.693,0.5438270560093772,85.96900208333334,88.09098229166666,85.095,88.721,2
4,15.220166666666666,14.594,0.26653660777653826,14.698708333333334,15.762458333333333,14.094,15.852249999999994,14.395833333333334,14.0,0.21906249246245862,13.979166666666666,14.833333333333334,13.5,15.0,0.8243333333333333,0.596,0.09526662939523213,0.6364124999999999,0.991628125,0.594,1.096,88.17208333333333,88.208,0.47684320835075483,87.22326562500001,89.10148854166667,87.177,89.48949999999999,2
5,14.990541666666667,14.344,0.33955218793333375,14.343916666666667,15.637727083333333,13.593,15.846,14.333333333333334,13.5,0.3582195640087896,13.686979166666667,15.020833333333334,13.0,15.0,0.6572083333333333,0.593,0.10121740805134684,0.449125,0.8453343749999999,0.592,1.093,86.51166666666667,86.399,0.5152627571804486,85.58348645833334,87.48378958333335,85.0945,87.9495,2
6,13.759541666666669,13.092,0.41286493290550574,12.987666666666668,14.552334375,12.591,14.594,13.25,13.0,0.4298634768105476,12.479166666666666,14.083854166666667,12.0,14.5,0.5095416666666667,0.591,0.09826404422923488,0.32225,0.6769604166666666,0.097,0.595,83.903125,83.7815,0.7203253348930386,82.51148645833335,85.19926562500001,82.989,85.611175,2
7,12.987666666666664,12.8415,0.4154466849881377,12.215707291666666,13.717959375,11.089,14.093499999999999,12.416666666666666,12.5,0.3920249671630967,11.666666666666666,13.188020833333333,11.0,13.5,0.5710000000000001,0.5894999999999999,0.1363913141651995,0.3204145833333333,0.8213375000000002,0.588,1.091,85.65891666666668,85.8785,0.19611527884542412,85.26682395833333,86.00825208333332,85.095,86.139,2
8,12.487041666666665,12.341,0.2729293883250271,11.965416666666668,12.987709374999998,12.091,13.342500000000001,12.166666666666666,12.0,0.24388660547168725,11.729166666666666,12.604687499999999,12.0,12.5,0.320375,0.34099999999999997,0.10860942209140506,0.13134270833333378,0.5099020833333329,0.091,0.592,88.66699999999999,88.208,0.42815176606269956,87.81050312499998,89.48005937500001,87.177,89.9975,2
9,12.445291666666668,12.591,0.17440113348054687,12.110937499999999,12.779083333333332,12.091,13.092,12.125,12.25,0.16277151230295586,11.811979166666667,12.416666666666666,12.0,12.5,0.32029166666666664,0.34099999999999997,0.07960781312172918,0.15370520833333332,0.48687604166666665,0.091,0.591,92.58620833333335,92.274,0.14404060391671122,92.31499895833335,92.857878125,92.274,92.776,2
10,11.693958333333333,12.091,0.35287084757662324,10.963581249999999,12.383270833333334,11.089,12.591,11.291666666666666,11.75,0.39804397955732956,10.5,12.020833333333334,10.0,12.25,0.40229166666666666,0.5845,0.11953711265263398,0.15337187500000002,0.6522510416666667,0.092,0.591,93.37866666666666,93.275,0.10395375342065134,93.17091354166665,93.58621145833334,93.275,93.774,2
11,9.690208333333333,9.3355,0.4348511821866816,8.8756875,10.629417708333332,8.083,11.088999999999999,9.5,9.0,0.3865960705169291,8.811979166666667,10.25,8.0,10.75,0.19020833333333334,0.083,0.16516210722695251,-0.14367083333333333,0.5026687499999999,-0.409,0.8354999999999999,93.52366666666667,93.774,0.13428609771174146,93.25378958333336,93.79375,93.275,94.02250000000001,2
12,11.589416666666667,12.091,0.5291254197664247,10.587664583333332,12.612603125,11.089,12.8415,11.1875,11.75,0.45724095778731466,10.291666666666666,12.0625,11.493750000000006,12.0,0.40191666666666664,0.5865,0.14428413891189115,0.12771041666666708,0.673959375,0.082,0.591,93.813875,93.774,0.1401170487989611,93.54462083333333,94.083375,93.275,94.271,2
13,12.612,12.8415,0.3443345451526862,11.965207291666665,13.279709374999998,12.091,13.593,12.0,12.25,0.33648868878635346,11.395312500000001,12.604166666666666,11.0,13.0,0.612,0.59,0.10210276508342545,0.44365312500000037,0.8200041666666666,0.094,0.594,94.20745833333335,94.271,0.13449396542637557,93.93895833333333,94.475628125,93.774,94.271,2
14,10.796458333333334,10.337499999999999,0.4176938063540635,10.045083333333334,11.568710416666667,9.586,12.091,10.645833333333334,10.25,0.45888882674784065,9.729166666666666,11.479166666666666,9.25,12.0,0.15062500000000004,0.33849999999999997,0.171048512193327,-0.1835427083333333,0.4625989583333333,-0.16599999999999998,0.59,94.02129166666668,93.774,0.13034193435749372,93.79333020833333,94.26970833333333,93.774,94.271,2
15,10.90075,11.59,0.5106492750070418,9.89895625,11.819725,10.588,12.591,10.895833333333334,11.5,0.49543127042992224,9.875,11.770833333333334,10.5,12.5,0.004916666666666648,0.091,0.18979314556607343,-0.37005,0.35808854166666665,0.081,0.33749999999999997,91.21770833333333,90.5075,0.32540115976989,90.56819270833333,91.84862708333334,90.254,92.776,2
16,15.011333333333335,14.594,0.28214393147404915,14.468998958333334,15.554266666666665,14.094,15.852249999999994,14.208333333333334,14.0,0.3068019156702533,13.624479166666667,14.792187499999999,13.5,15.25,0.8029999999999999,0.597,0.0947129148104104,0.6159166666666667,0.9699197916666668,0.594,1.0935000000000001,87.308625,88.208,0.5424815191285454,86.22850625000001,88.322865625,86.659,88.722,2
17,13.008666666666668,12.8415,0.3760842329073979,12.278414583333333,13.718644791666668,11.59,14.094,12.5,12.5,0.39009474880274697,11.791666666666666,13.292187499999999,11.0,13.5,0.5086666666666666,0.5894999999999999,0.13349076756148567,0.23849270833333336,0.737753125,0.094,0.8434999999999999,89.10449999999999,89.234,0.1640256475173267,88.78266770833332,89.40354375000001,88.722,89.234,2
18,13.509083333333336,14.594,0.4238096070541594,12.653583333333335,14.302041666666668,13.593,14.8445,13.291666666666666,14.0,0.3572700774100182,12.5625,13.9375,14.0,14.25,0.21741666666666662,0.3445,0.12174567987256407,-0.013259374999999985,0.44784375,0.086,0.594,90.54708333333333,90.761,0.2002630418473456,90.14420000000001,90.90713020833333,90.254,91.267,2
19,16.283875,16.597,0.20618126709369683,15.887498958333335,16.680167708333332,16.0964875,16.847,15.729166666666666,16.0,0.2231590683946393,15.270833333333334,16.145833333333332,15.5,16.25,0.5547083333333334,0.597,0.10391017370729023,0.34645624999999997,0.7424625,0.594,1.094,93.29199999999999,93.275,0.2467804281342934,92.81390833333334,93.79171874999999,92.776,93.78021249999999,2
20,15.303541666666666,15.596,0.2590370124857845,14.803000000000003,15.804042708333334,14.094,16.096,14.729166666666666,15.0,0.24631186537427424,14.291666666666666,15.25,13.5,15.5,0.574375,0.596,0.06377095599015709,0.4491666666666667,0.699375,0.594,0.597,98.06733333333334,98.19,0.16822703631935151,97.72445729166668,98.36991875,97.706,98.432,2
21,13.885,13.593,0.1474032106900631,13.634625,14.177083333333334,13.593,14.094,13.520833333333334,13.5,0.12582757449150586,13.270833333333334,13.770833333333334,13.0,13.5,0.3641666666666666,0.593,0.06016699787134341,0.259665625,0.46875104166666665,0.093,0.594,96.62958333333331,96.732,0.5395011078304123,95.510996875,97.62757812499999,95.9975,98.4305,2
