rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
1,12,14.889342857142855,15.075,0.28364628506294953,14.359845000000002,15.404171428571427,14.074,15.576,14.67142857142857,15.0,0.3012180155919743,14.085714285714285,15.314285714285715,14.0,15.5,0.21791428571428564,0.077,0.0859120555947686,0.04677142857142856,0.38922857142857137,0.074,0.575,94.9178,95.969,0.6878083715442743,93.54343714285716,96.18901642857143,93.447,97.464
1,13,15.56151428571429,15.576,0.26633640309925033,15.060999285714285,16.104888571428567,14.575,16.076,15.285714285714286,15.0,0.29009250501277317,14.7,15.842857142857143,15.0,16.0,0.2758,0.575,0.08741808939196266,0.10442714285714284,0.447115,0.076,0.576,94.21511428571428,95.468,0.7629871258662856,92.70161428571427,95.59899,93.447,96.469
1,14,15.389828571428572,15.576,0.25470694805551564,14.917885714285717,15.890314285714288,14.575,16.076,14.785714285714286,15.0,0.29511834564319117,14.17142857142857,15.32857142857143,13.5,15.5,0.6041142857142857,0.576,0.07914685607104285,0.44728499999999993,0.7608578571428571,0.574,0.577,94.27374285714286,95.468,0.7559410144865489,92.94650285714286,95.67710857142859,93.447,96.968
1,15,15.2468,15.576,0.2690647786798756,14.731642142857142,15.762067857142858,14.074,16.076,14.514285714285714,14.5,0.3036789231332035,13.9425,15.142857142857142,13.5,15.5,0.7325142857142858,0.578,0.07867988938729896,0.5757714285714286,0.875115,0.576,1.074,94.02871428571429,95.468,0.7507998922957491,92.54090642857145,95.54077857142858,93.447,96.469
1,16,14.860685714285715,15.075,0.26776938457061394,14.345884999999999,15.346942857142858,14.074,15.576,13.957142857142857,14.0,0.2850412240356821,13.399642857142858,14.4575,13.0,15.0,0.9035428571428572,1.073,0.05770968115420123,0.803395,1.0186778571428572,0.577,1.074,94.47825714285715,95.969,0.7395561414054488,93.10166857142856,95.78651071428571,92.938,97.464
1,17,14.288685714285716,14.074,0.27167386457198384,13.759514285714287,14.789200714285718,13.574,15.075,13.485714285714286,13.5,0.30020001335644153,12.928571428571429,14.086071428571428,12.987500000000011,14.5,0.8029714285714286,1.071,0.0554138817925448,0.7029707142857142,0.9031457142857144,0.576,1.074,94.70634285714284,95.468,0.7543890754875007,93.24921285714287,96.19947071428571,92.938,97.464
1,18,13.902542857142858,13.574,0.2994620256024312,13.359169285714284,14.46067,13.073,14.575,13.1,13.0,0.3187422762287146,12.485714285714286,13.72892857142857,12.5,14.0,0.8025428571428572,1.069,0.051515117188254245,0.7026571428571429,0.9024578571428572,0.576,1.072025,94.95917142857142,96.469,0.6982454547664745,93.58352142857143,96.23198357142857,93.955,97.96
1,19,13.487714285714285,13.574,0.320226549457085,12.887028571428571,14.059800714285716,12.573,14.074,12.8,12.5,0.3176859608920406,12.199642857142857,13.414285714285715,12.0,13.5,0.6877142857142857,0.574,0.04627830628548392,0.6014692857142858,0.7874571428571427,0.573,0.5760249999999999,95.12868571428571,95.468,0.7178830488908021,93.69884785714284,96.38270357142856,93.447,97.96
1,20,13.201714285714287,13.073,0.32729773553001135,12.558084285714285,13.888200714285716,12.573,14.074,12.7,12.5,0.33064744228927123,12.056785714285715,13.371428571428572,12.0,13.5,0.5017142857142858,0.573,0.05479780360299019,0.4018,0.6026192857142854,0.569,0.574,95.25,96.469,0.6724030991385245,94.01740214285714,96.55838857142857,93.447,97.96
1,21,13.101514285714288,13.073,0.3482522542023567,12.443571428571428,13.716954285714287,12.072,14.074,12.514285714285714,12.5,0.36234861474475516,11.82857142857143,13.242857142857142,11.5,14.0,0.5872285714285715,0.573,0.04793320081839182,0.5008199999999998,0.6730328571428571,0.571,0.575,95.30545714285715,95.969,0.6854375114398362,93.9756307142857,96.65403571428573,93.955,98.453
